Username,Comment,Likes,Commented_on,Updated_on
Me Me,The boot lid looks a different white please tell me you sprayed it you tend to do this for the sake of a panel you leave it and it sticks out a mile,0,2023-09-02T16:21:14Z,2023-09-02T16:21:14Z
macaulay Smith,"It hurt when you wrapped it before, but that paint job looks the bees knees. And the two together look insaneeeee",0,2023-09-02T09:30:36Z,2023-09-02T09:30:36Z
Abo ibrahim,Great job guys ❤,1,2023-09-02T07:04:06Z,2023-09-02T07:04:06Z
B1g_Al2,I like the way y’all paint it make me want to paint my car could y’all do a tutorial,0,2023-09-02T06:15:03Z,2023-09-02T06:15:03Z
jorgipogi,Price breakdown is a must.,0,2023-09-02T04:32:54Z,2023-09-02T04:32:54Z
Javi Ramos,So what about that Ford 250 in the bad over there 🤐🤔,0,2023-09-02T03:34:19Z,2023-09-02T03:34:19Z
Tizzlebaby_,been watching for years since the mustang days no drive way. but this video seeing a lambo tow a lambo its just like made these guys made it! lol thank you for all the smiles me and my son love your videos ! how time fly's,0,2023-09-02T01:30:28Z,2023-09-02T01:30:28Z
TSWPCEO,Get a sick low profile trailer with rims. The set ups gonna be MINT 🤙🏿,0,2023-09-01T23:50:54Z,2023-09-01T23:51:42Z
Peter Morris,"Sucker looks a lot better white, the wrap sucked on that sucker.",0,2023-09-01T23:49:43Z,2023-09-01T23:49:43Z
Hugo Hansén : Samtal om livet,"If somebody told me that this was an “AUDI Q9”, I wouldn’t have blinked. 

It looks more like an AUDI than a Lamborghini. 

Still good work though guys!!",0,2023-09-01T23:02:15Z,2023-09-01T23:02:15Z
Mohd Afzal,Show all the cars in one line,0,2023-09-01T21:45:22Z,2023-09-01T21:45:22Z
Zakhele Melcome Kambula,Fire 🔥🔥🔥,0,2023-09-01T21:10:09Z,2023-09-01T21:10:09Z
Josh West,Looks sharp!  Glad the pee wrap is in the trash.  Looks classy now.  Wow!  Nice work.,0,2023-09-01T21:01:32Z,2023-09-01T21:01:32Z
Naschtara,Prize breakdown: Yes please!,0,2023-09-01T20:28:22Z,2023-09-01T20:28:22Z
More Michael Keith,"SO SICK! y'all should consider getting the 1016 Carbon kit to replace the black trim on some parts of the car, would match well with the carbon bumper on the back!",0,2023-09-01T18:40:08Z,2023-09-01T18:40:08Z
Pietro Barrasso,Sick setup🤤🤤🤤😍😍,0,2023-09-01T17:27:28Z,2023-09-01T17:27:28Z
Ulford,What kind of money do you have to give away a brand new Super Snake truck AND 30 000 dollars? Love you guys.,0,2023-09-01T17:05:55Z,2023-09-01T17:05:55Z
Jens Christian Berner,take a look at your fleet guys - it's true white washing - try out some more colours on your cars in the future :),0,2023-09-01T17:02:13Z,2023-09-01T17:02:13Z
eldan wiggins,It would have been epic seeing all three lambos driving in a line all white going down the street.,1,2023-09-01T16:51:44Z,2023-09-01T16:51:44Z
